Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,141.10000610351562,141.89999389648438,140.47999572753906,141.5500030517578,131.1734161376953,3338600
2023-01-04,142.07000732421875,143.6199951171875,141.3699951171875,142.60000610351562,132.1464385986328,3869200
2023-01-05,142.44000244140625,142.5,140.00999450683594,141.11000061035156,130.76565551757812,2866600
2023-01-06,142.3800048828125,144.25,141.5800018310547,143.6999969482422,133.16580200195312,3574000
2023-01-09,144.0800018310547,145.47000122070312,143.39999389648438,143.5500030517578,133.02679443359375,3987700
2023-01-10,143.61000061035156,144.85000610351562,142.89999389648438,144.8000030517578,134.1851806640625,2152100
2023-01-11,145.0,145.52999877929688,143.4499969482422,145.25999450683594,134.61141967773438,3268700
2023-01-12,144.8800048828125,146.66000366210938,144.52000427246094,145.5500030517578,134.8801727294922,2715900
2023-01-13,144.05999755859375,146.10000610351562,144.00999450683594,145.88999938964844,135.19525146484375,2455700
2023-01-17,146.4199981689453,147.17999267578125,145.00999450683594,145.19000244140625,134.54656982421875,2986500
2023-01-18,144.39999389648438,144.67999267578125,140.22999572753906,140.41000366210938,130.11697387695312,6445600
2023-01-19,140.0,142.22999572753906,139.75,140.6199951171875,130.3115997314453,4833900
2023-01-20,141.6699981689453,141.86000061035156,140.50999450683594,141.1999969482422,130.84906005859375,7153300
2023-01-23,141.39999389648438,142.99000549316406,141.05999755859375,141.86000061035156,131.46067810058594,5898400
2023-01-24,141.25,142.75,140.0,141.49000549316406,131.11778259277344,4407600
2023-01-25,140.47000122070312,141.02999877929688,139.36000061035156,140.75999450683594,130.44129943847656,7347500
2023-01-26,137.52999877929688,138.27000427246094,132.97999572753906,134.4499969482422,124.5938720703125,17548500
2023-01-27,134.44000244140625,135.49000549316406,133.77000427246094,134.38999938964844,124.53827667236328,8143100
2023-01-30,134.32000732421875,136.11000061035156,133.97999572753906,135.3000030517578,125.38158416748047,5375700
2023-01-31,135.5,135.64999389648438,133.75999450683594,134.72999572753906,124.85334777832031,7206400
2023-02-01,134.49000549316406,135.7899932861328,132.8000030517578,135.08999633789062,125.18696594238281,5428900
2023-02-02,135.9600067138672,136.72000122070312,134.85000610351562,136.38999938964844,126.39164733886719,6107800
2023-02-03,136.35000610351562,136.9499969482422,135.52999877929688,136.94000244140625,126.90132904052734,3755700
2023-02-06,135.8300018310547,136.32000732421875,134.9499969482422,136.17999267578125,126.19703674316406,4841300
2023-02-07,135.6699981689453,136.39999389648438,134.4499969482422,135.83999633789062,125.8819808959961,3737600
2023-02-08,135.7100067138672,136.74000549316406,135.16000366210938,135.97999572753906,126.01171875,4593700
2023-02-09,134.99000549316406,135.72999572753906,133.33999633789062,133.75,125.4676513671875,3918800
2023-02-10,133.77999877929688,135.77000427246094,133.5,135.60000610351562,127.20306396484375,5049600
2023-02-13,136.0,137.38999938964844,135.85000610351562,137.35000610351562,128.84471130371094,4403000
2023-02-14,137.0500030517578,137.24000549316406,135.0500030517578,136.00999450683594,127.58768463134766,3202200
2023-02-15,135.1999969482422,136.4499969482422,135.07000732421875,136.39999389648438,127.95354461669922,2506700
2023-02-16,135.57000732421875,135.97000122070312,134.58999633789062,135.0,126.64022827148438,2965500
2023-02-17,134.5,135.5800018310547,133.88999938964844,135.02000427246094,126.65900421142578,3466200
2023-02-21,134.0,134.38999938964844,131.66000366210938,131.7100067138672,123.55397033691406,4257200
2023-02-22,131.89999389648438,131.99000549316406,130.2899932861328,130.97000122070312,122.85979461669922,3200200
2023-02-23,131.5,131.6999969482422,128.86000061035156,130.7899932861328,122.69093322753906,3725600
2023-02-24,129.6199951171875,130.6699981689453,129.22000122070312,130.57000732421875,122.48456573486328,3015800
2023-02-27,131.4199981689453,131.8699951171875,130.1300048828125,130.49000549316406,122.40950775146484,2761300
2023-02-28,130.5500030517578,130.61000061035156,129.13999938964844,129.3000030517578,121.2931900024414,5143100
2023-03-01,128.89999389648438,129.47000122070312,127.73999786376953,128.19000244140625,120.25193786621094,3760700
2023-03-02,128.38999938964844,129.22000122070312,127.70999908447266,128.92999267578125,120.94610595703125,3340100
2023-03-03,129.35000610351562,129.91000366210938,128.77000427246094,129.63999938964844,121.61213684082031,2860300
2023-03-06,129.63999938964844,130.86000061035156,129.58999633789062,130.19000244140625,122.12808227539062,3131200
2023-03-07,130.27999877929688,130.4199981689453,128.19000244140625,128.25,120.30821990966797,3530400
2023-03-08,128.47999572753906,128.74000549316406,127.55000305175781,128.0500030517578,120.12061309814453,2778800
2023-03-09,128.3000030517578,128.52999877929688,125.9800033569336,126.16000366210938,118.34764099121094,5478300
